Index,PoX Address Hash,PoX Address Version,Signer,Total uSTX,Stacker Address
12,0xb5a2378bdef677ebe6073647abb5225e87867bf0,0x00,0x0284df4505c6318a0017a7848aa0a95bf8cd3db697a89d2ec1978a027bece770ef,128999000000,
13,0xc16183ea4d91a28de8f7eb85da7ccd951bbeb807,0x04,0x03b9009e6e96a28c106dcbd51bcaf7dd1da0dbef03e1db7e8d4101fb42b1a98984,100100000000,SP29NE0KKA1PS9YBNGFS5V6YT0ZG6SRE3T1HRQFBR
14,0x326990dc9d9b026cd0b1ec6c88eb067d8aa68224,0x04,0x039dc5297b92c1f6b48f4a68e180b853ff6e8188fb78422652a90b8fe14941adce,1963192345056,
15,0x84620e1913758700a38757f7dc09de42f09e9ce1,0x04,0x03ed732eab6b99b90315f9b58ce9c3e2d1991bc4e9cfa59841535c0ef7dbba38e0,5555531601331,
16,0x35e1b36efc22bc607db92f9100cb08e3473d6025,0x00,0x03a541c1ec2cfb32da48cfadf439c9b2f27d166bbffa18a178c7a6a0d54cfa7813,150000000000,
17,0x827b74f6795a2acf50da048eadb20f8c7f9d4129,0x04,0x024f164c6e73df283d34d7d9cc86553a82dce76045ba7dfbf4de0004f89eabb8e0,120000000000,
18,0x2caa42290f7738ee7920b01e1e689a61a1709eee,0x04,0x02879477ec9ed8a56c0b26ba4b452246608d6e1b02ae1fa405a2c97ee8af5da202,15000000000000,
19,0x403b97aea85ecc652006762677633a7d0cdc5a38,0x04,0x02879477ec9ed8a56c0b26ba4b452246608d6e1b02ae1fa405a2c97ee8af5da202,15000000000000,
20,0xd22050accdfbad4a3a98e376facae17e2591e82e,0x04,0x02879477ec9ed8a56c0b26ba4b452246608d6e1b02ae1fa405a2c97ee8af5da202,19000000000000,
21,0x07058b3638fb5d240596cf7bdcbe2f758fc104c3,0x01,0x039dc5297b92c1f6b48f4a68e180b853ff6e8188fb78422652a90b8fe14941adce,23000000000000,
22,0x9d423393daa6ced58ce0ab7510f38ec20d1cd45b,0x00,0x02254a34747123978819f2a90506f76cb057fe3fbff6d8721a0d9cf8e9412d0e60,327626000000,
23,0x83ed66860315e334010bbfb76eb3eef887efee0a,0x04,0x023d6ecdc36fa1e1c6a9f116c7f13ae843001ed9d617f66f6c68cabf751bf82555,52174935629964,
24,0xcf510f80e8dd49fda0c92cd06557737253004c23,0x04,0x025588e24e2bf387fe8cc7bccba1aac7fe599b96724892431e992a40d06e8fe220,150000000000,
25,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x03e0df37e83e43847625a0320456cb9758050a61ce76c2c130bf50242f27ba6d54,6000000000000,
26,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x03a541c1ec2cfb32da48cfadf439c9b2f27d166bbffa18a178c7a6a0d54cfa7813,6000000000000,
27,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x034df3feda207a1cd4f31ae2b58f136a0d382d23419ef8d06569fa538202ba8aed,6000000000000,
28,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x03cc1da6f6235699284987f7d3a98a950b0c693cdbed87ab33c04f61e2dfb6a177,6000000000000,
29,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x0215245613e31de2ec2e7f2c4facb45724be2e49d9d42abb0a5e571322593b36bf,6000000000000,
30,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x029e1245f007bd8f76d5ce67e759acd21f8b0f2538a80713468f7524bf3fff6136,6000000000000,
31,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x0244869db071d334ff8e5cd94956ae7b60a4abd41f83f3c9d66ab314718151d94d,6000000000000,
32,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x025588e24e2bf387fe8cc7bccba1aac7fe599b96724892431e992a40d06e8fe220,5900000000000,
33,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x0309126df3691918f25f8872819bc8268e9e1e0d92d0494fa4fb9783589a1392fa,1900000000000,
34,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x027af6b78b484b2c129dab7e490e8438f9a6eb4890071335a5781d483073866b9a,2700000000000,
35,0x2fffa9a09bb7fa7dced44834d77ee81c49c5f0cc,0x04,0x02c54d8b1ba4b7207f78f861c60f8a67433c264a11ac9b6b7773476e9f6c008e49,2600000000000,
36,0x4c7c70607081546154300daf1bd31e0d95c80dc8,0x04,0x025f9fd3d308e7306e154d9a5466a5aee6918258cdb08924ade59bea04f472b339,120000000000,
37,0x8a31f1181d6ee57bc60595a5dc9619a9ea85fa4f,0x04,0x038b9ddb9808631dd75ccb0b6715b36bb1e391d85d40f1a031e98a332890bed2ea,839990000000,
38,0xec17f33c7c494f5a99460f8a3f84abad0657c7aa,0x04,0x038b1879ce76e0332b6420144abf959479f206c2e64b07dead643e2885136610ed,2210000000000,SP2433TZ82N452B0HQRG5CP1ZPSYJBMMNKDTTM7V7
39,0xf7d582393a00ca8763b16419adb9bfb27f14fba8716cdd94e3cfa5b9bcfe01f5,0x06,0x03b42ff50ea79b0dcee6a8e90610fb9f3cd00ce29769cc278dee2e446ab105722a,29819000000000,
40,0x05537517aee02812be1b08fd60f120b929c28471,0x04,0x03632c3412fc3db64c4efd21cac47714f2408752c9eeec70c2364f814623da77f4,2150000000000,SP26066SDPP4NXKGCVYZQDR5GX2QPE8KADZ0YK2J7
